digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
d96c3d472be3f711095aa66f86c205e86c689dda7dd493597bbfde1892b30c0c,1,0x9990f7e058ed31e6af66396499b989cae124cc23,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113856,11.0,11,4.99900253e+18,1627488118293,1,3,8,1,9,7,15
62aa2f1bd57788acaee02c4f753bafdd12d4af165dd332d5acf8dbdbb397aa2e,2,0xaf17a4ab5d6b10055fc1eb1bfaccbde69b83af76,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113856,11.0,11,6.099884976e+19,1627488118376,1,6,8,1,8,7,15
57674fbf479eb4debc3f94946ac33af21e0e13a61b54f212edbb386d12ae3cb8,6,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113859,11.0,11,1.2572258e+17,1627488118451,1,2,14,2,2,7,7
9e7a7c21871b453b26c55b13de912cc33cf25aeecc82538031f33284b0feb03a,11,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113862,11.0,11,1.2054304e+17,1627488118565,1,2,14,2,2,7,7
4e810e452bc678dda1c345616fffbc740c10ef9621e4d726c89d23a2f73b00fc,17,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113867,11.0,11,9.288763e+16,1627488118581,1,2,14,2,2,7,7
f2206341cc5c6259e81c22a1b70ef33348fded148ee1b69edb8ff5f524798df8,19,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113868,11.0,11,9.052762e+16,1627488118589,1,2,14,2,2,7,7
de68bbfe7aa469661abfc3f8d28fdd78a7fce3f6f9188eee10c692f79fa00749,22,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x52f791ee5e11186fc120eab36dd80277f6a630bb,1627488113870,11.0,11,2.5113992e+17,1627488118596,1,11,14,2,9,6,7
f56af2003d6b6adc9c297a4172a34d4e4692072ef6adba248417d2c415aca013,23,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113870,11.0,11,7.020693e+16,1627488118606,1,2,14,2,2,7,7
200f524fd7f62de24137b04529d015ac07974c40c674ddab981d440f833cd3bb,25,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x9746c7e1ef2bd21ff3997fa467593a89cb852bd0,1627488113872,11.0,11,2.055466406e+19,1627488118624,1,0,14,2,7,7,7
83c7f9eaccda62622df44b2e8e16253feb63940e7f112f5a1a71854b384badf6,26,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x58850ab9442c06379dffbf52e3eaa035f5d5e092,1627488113872,11.0,11,6.754959e+16,1627488118635,1,2,14,2,2,7,7
