digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
86242e655706c2c831a58d40724be59edae9e85c534cfb51895dc6c0dd108c70,0,0xc839ee5542b4e8413246b3634c5c739fea949562,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113828,11.0,11,1.337e+16,1627488117979,1,2,12,3,3,8,8
b35ffa3f22d4c9ec5892c412f70010135a2fca1e6182cc52ceca34d53ea42286,3,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0xc839ee5542b4e8413246b3634c5c739fea949562,1627488113857,11.0,11,1000000000000.0,1627488118002,1,2,12,3,3,8,8
e331540e6fd9d7fcad8dfd33201865729d705d1757aaa56335c93c9d31ed9728,4,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0xc839ee5542b4e8413246b3634c5c739fea949562,1627488113858,11.0,11,2.674e+16,1627488118013,1,2,12,3,3,8,8
aeb1be21cbd2a0445d582b7853c397392f62d86683d53c7788a1f2498d7a98e7,9,0x2c84b6a0cf0c22b45e5e9da2df136c8f08da5b51,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113861,11.0,11,2.07910779373e+21,1627488118029,1,1,8,1,12,14,15
1276e36e9e54b28ecdd978de7bdb419f76e74d775b2ccc3c1ca51231c14771f0,12,0xc839ee5542b4e8413246b3634c5c739fea949562,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113862,11.0,11,1.337e+16,1627488118044,1,2,12,3,3,8,8
031709e00d8806abbdc290239ecc20e78b25921836799e78ae4819ebad7f0db9,14,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0xc839ee5542b4e8413246b3634c5c739fea949562,1627488113863,11.0,11,1000000000000.0,1627488118053,1,2,12,3,3,8,8
17e9e6a490bcab57104b8945f83ac0270d012a8bc1b0d2be08d890b09c694920,16,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0xc839ee5542b4e8413246b3634c5c739fea949562,1627488113866,11.0,11,2.674e+16,1627488118067,1,2,12,3,3,8,8
2479c7ffd089ce2292a3f500436cd02d7d4c86a88bca534ab914e95b88bbead6,18,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x0b6435ddf12093801c9d3e069f9bdf7fe2906080,1627488113868,11.0,11,5.999e+19,1627488118080,1,0,8,2,11,8,8
16514e603b66a54123deb1ded89f05166a218005acc6b0e37b82179223d7fa70,20,0x0b6435ddf12093801c9d3e069f9bdf7fe2906080,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113869,11.0,11,5.998881913e+19,1627488118089,1,0,8,1,11,8,15
820022751170656039b6c47bd3a92032f4671c074e456ffa3c4527374f23645a,32,0xc839ee5542b4e8413246b3634c5c739fea949562,0x24aaea844cc9cf8688056ffd80bba8ba74c5abf9,1627488113876,11.0,11,2.10445998698999e+16,1627488118100,1,2,9,3,11,8,8
